['ALIGNF', 'K_exp', 'K_mgi', 'K_mpi', 'K_pfamdom', 'K_sw', 'K_tap']
0 : [0.78670788253477586, 0.72681607418856264, 0.72372488408037094, 0.7094281298299846, 0.78748068006182381, 0.76893353941267384, 0.71483771251931993]
1 : [0.94513137557959814, 0.93701700154559509, 0.93663060278207111, 0.93624420401854713, 0.94088098918083463, 0.9428129829984544, 0.93585780525502316]
2 : [0.8690108191653787, 0.84466769706336942, 0.8690108191653787, 0.85587326120556417, 0.84853168469860896, 0.84466769706336942, 0.83887171561050999]
3 : [0.84544049459041726, 0.7816846986089645, 0.80370942812983004, 0.80950540958268935, 0.82264296754250388, 0.79714064914992278, 0.78979907264296756]
4 : [0.93199381761978362, 0.92851622874806805, 0.90494590417310661, 0.90185471406491502, 0.91499227202472955, 0.90687789799072638, 0.90030911901081911]
5 : [0.86669242658423495, 0.84389489953632146, 0.84969088098918089, 0.85355486862442043, 0.87480680061823801, 0.85935085007727974, 0.84312210200927362]
6 : [0.902241112828439, 0.86785162287480677, 0.8825347758887172, 0.89489953632148378, 0.88910355486862447, 0.88214837712519323, 0.87635239567233381]
7 : [0.93353941267387941, 0.9277434312210201, 0.92890262751159192, 0.92542503863987635, 0.93353941267387941, 0.93353941267387941, 0.92851622874806805]
8 : [0.9428129829984544, 0.94165378670788258, 0.94358578052550235, 0.94088098918083463, 0.94706336939721791, 0.9428129829984544, 0.94165378670788258]
9 : [0.90185471406491502, 0.89064914992272026, 0.8960587326120556, 0.90069551777434309, 0.88678516228748072, 0.89219474497681606, 0.88639876352395675]
10 : [0.94938176197836166, 0.95054095826893359, 0.94783616692426587, 0.94706336939721791, 0.94976816074188564, 0.95015455950540961, 0.94976816074188564]
11 : [0.95517774343122097, 0.91537867078825352, 0.91499227202472955, 0.91537867078825352, 0.95556414219474495, 0.94474497681607417, 0.91537867078825352]
12 : [0.97913446676970639, 0.97913446676970639, 0.97913446676970639, 0.97836166924265844, 0.97913446676970639, 0.97913446676970639, 0.97913446676970639]
